field_id	title	notes
27373	Area of S-central (left hemisphere)	Area of S-central in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27374	Area of S-cingul-Marginalis (left hemisphere)	Area of S-cingul-Marginalis in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27375	Area of S-circular-insula-ant (left hemisphere)	Area of S-circular-insula-ant in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27376	Area of S-circular-insula-inf (left hemisphere)	Area of S-circular-insula-inf in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27377	Area of S-circular-insula-sup (left hemisphere)	Area of S-circular-insula-sup in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27378	Area of S-collat-transv-ant (left hemisphere)	Area of S-collat-transv-ant in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27379	Area of S-collat-transv-post (left hemisphere)	Area of S-collat-transv-post in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27380	Area of S-front-inf (left hemisphere)	Area of S-front-inf in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27381	Area of S-front-middle (left hemisphere)	Area of S-front-middle in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27382	Area of S-front-sup (left hemisphere)	Area of S-front-sup in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27383	Area of S-interm-prim-Jensen (left hemisphere)	Area of S-interm-prim-Jensen in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27384	Area of S-intrapariet+P-trans (left hemisphere)	Area of S-intrapariet+P-trans in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27385	Area of S-oc-middle+Lunatus (left hemisphere)	Area of S-oc-middle+Lunatus in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27386	Area of S-oc-sup+transversal (left hemisphere)	Area of S-oc-sup+transversal in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27387	Area of S-occipital-ant (left hemisphere)	Area of S-occipital-ant in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27388	Area of S-oc-temp-lat (left hemisphere)	Area of S-oc-temp-lat in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27389	Area of S-oc-temp-med+Lingual (left hemisphere)	Area of S-oc-temp-med+Lingual in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27390	Area of S-orbital-lateral (left hemisphere)	Area of S-orbital-lateral in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27391	Area of S-orbital-med-olfact (left hemisphere)	Area of S-orbital-med-olfact in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27392	Area of S-orbital-H-Shaped (left hemisphere)	Area of S-orbital-H-Shaped in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27393	Area of S-parieto-occipital (left hemisphere)	Area of S-parieto-occipital in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27394	Area of S-pericallosal (left hemisphere)	Area of S-pericallosal in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27395	Area of S-postcentral (left hemisphere)	Area of S-postcentral in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27396	Area of S-precentral-inf-part (left hemisphere)	Area of S-precentral-inf-part in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27397	Area of S-precentral-sup-part (left hemisphere)	Area of S-precentral-sup-part in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27398	Area of S-suborbital (left hemisphere)	Area of S-suborbital in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27399	Area of S-subparietal (left hemisphere)	Area of S-subparietal in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27400	Area of S-temporal-inf (left hemisphere)	Area of S-temporal-inf in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27401	Area of S-temporal-sup (left hemisphere)	Area of S-temporal-sup in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27402	Area of S-temporal-transverse (left hemisphere)	Area of S-temporal-transverse in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27403	Mean thickness of G+S-frontomargin (left hemisphere)	Mean thickness of G+S-frontomargin in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27404	Mean thickness of G+S-occipital-inf (left hemisphere)	Mean thickness of G+S-occipital-inf in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27405	Mean thickness of G+S-paracentral (left hemisphere)	Mean thickness of G+S-paracentral in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27406	Mean thickness of G+S-subcentral (left hemisphere)	Mean thickness of G+S-subcentral in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27407	Mean thickness of G+S-transv-frontopol (left hemisphere)	Mean thickness of G+S-transv-frontopol in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27408	Mean thickness of G+S-cingul-Ant (left hemisphere)	Mean thickness of G+S-cingul-Ant in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27409	Mean thickness of G+S-cingul-Mid-Ant (left hemisphere)	Mean thickness of G+S-cingul-Mid-Ant in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27410	Mean thickness of G+S-cingul-Mid-Post (left hemisphere)	Mean thickness of G+S-cingul-Mid-Post in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27411	Mean thickness of G-cingul-Post-dorsal (left hemisphere)	Mean thickness of G-cingul-Post-dorsal in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27412	Mean thickness of G-cingul-Post-ventral (left hemisphere)	Mean thickness of G-cingul-Post-ventral in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27413	Mean thickness of G-cuneus (left hemisphere)	Mean thickness of G-cuneus in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27414	Mean thickness of G-front-inf-Opercular (left hemisphere)	Mean thickness of G-front-inf-Opercular in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27415	Mean thickness of G-front-inf-Orbital (left hemisphere)	Mean thickness of G-front-inf-Orbital in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27416	Mean thickness of G-front-inf-Triangul (left hemisphere)	Mean thickness of G-front-inf-Triangul in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27417	Mean thickness of G-front-middle (left hemisphere)	Mean thickness of G-front-middle in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27418	Mean thickness of G-front-sup (left hemisphere)	Mean thickness of G-front-sup in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27419	Mean thickness of G-Ins-lg+S-cent-ins (left hemisphere)	Mean thickness of G-Ins-lg+S-cent-ins in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27420	Mean thickness of G-insular-short (left hemisphere)	Mean thickness of G-insular-short in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27421	Mean thickness of G-occipital-middle (left hemisphere)	Mean thickness of G-occipital-middle in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27422	Mean thickness of G-occipital-sup (left hemisphere)	Mean thickness of G-occipital-sup in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27423	Mean thickness of G-oc-temp-lat-fusifor (left hemisphere)	Mean thickness of G-oc-temp-lat-fusifor in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27424	Mean thickness of G-oc-temp-med-Lingual (left hemisphere)	Mean thickness of G-oc-temp-med-Lingual in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27425	Mean thickness of G-oc-temp-med-Parahip (left hemisphere)	Mean thickness of G-oc-temp-med-Parahip in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27426	Mean thickness of G-orbital (left hemisphere)	Mean thickness of G-orbital in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27427	Mean thickness of G-pariet-inf-Angular (left hemisphere)	Mean thickness of G-pariet-inf-Angular in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27428	Mean thickness of G-pariet-inf-Supramar (left hemisphere)	Mean thickness of G-pariet-inf-Supramar in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27429	Mean thickness of G-parietal-sup (left hemisphere)	Mean thickness of G-parietal-sup in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27430	Mean thickness of G-postcentral (left hemisphere)	Mean thickness of G-postcentral in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27431	Mean thickness of G-precentral (left hemisphere)	Mean thickness of G-precentral in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27432	Mean thickness of G-precuneus (left hemisphere)	Mean thickness of G-precuneus in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27433	Mean thickness of G-rectus (left hemisphere)	Mean thickness of G-rectus in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27434	Mean thickness of G-subcallosal (left hemisphere)	Mean thickness of G-subcallosal in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27435	Mean thickness of G-temp-sup-G-T-transv (left hemisphere)	Mean thickness of G-temp-sup-G-T-transv in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27436	Mean thickness of G-temp-sup-Lateral (left hemisphere)	Mean thickness of G-temp-sup-Lateral in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27437	Mean thickness of G-temp-sup-Plan-polar (left hemisphere)	Mean thickness of G-temp-sup-Plan-polar in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27438	Mean thickness of G-temp-sup-Plan-tempo (left hemisphere)	Mean thickness of G-temp-sup-Plan-tempo in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27439	Mean thickness of G-temporal-inf (left hemisphere)	Mean thickness of G-temporal-inf in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27440	Mean thickness of G-temporal-middle (left hemisphere)	Mean thickness of G-temporal-middle in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27441	Mean thickness of Lat-Fis-ant-Horizont (left hemisphere)	Mean thickness of Lat-Fis-ant-Horizont in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27442	Mean thickness of Lat-Fis-ant-Vertical (left hemisphere)	Mean thickness of Lat-Fis-ant-Vertical in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27443	Mean thickness of Lat-Fis-post (left hemisphere)	Mean thickness of Lat-Fis-post in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27444	Mean thickness of Pole-occipital (left hemisphere)	Mean thickness of Pole-occipital in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27445	Mean thickness of Pole-temporal (left hemisphere)	Mean thickness of Pole-temporal in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27446	Mean thickness of S-calcarine (left hemisphere)	Mean thickness of S-calcarine in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27447	Mean thickness of S-central (left hemisphere)	Mean thickness of S-central in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27448	Mean thickness of S-cingul-Marginalis (left hemisphere)	Mean thickness of S-cingul-Marginalis in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27449	Mean thickness of S-circular-insula-ant (left hemisphere)	Mean thickness of S-circular-insula-ant in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27450	Mean thickness of S-circular-insula-inf (left hemisphere)	Mean thickness of S-circular-insula-inf in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27451	Mean thickness of S-circular-insula-sup (left hemisphere)	Mean thickness of S-circular-insula-sup in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27452	Mean thickness of S-collat-transv-ant (left hemisphere)	Mean thickness of S-collat-transv-ant in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27453	Mean thickness of S-collat-transv-post (left hemisphere)	Mean thickness of S-collat-transv-post in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27454	Mean thickness of S-front-inf (left hemisphere)	Mean thickness of S-front-inf in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27455	Mean thickness of S-front-middle (left hemisphere)	Mean thickness of S-front-middle in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27456	Mean thickness of S-front-sup (left hemisphere)	Mean thickness of S-front-sup in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27457	Mean thickness of S-interm-prim-Jensen (left hemisphere)	Mean thickness of S-interm-prim-Jensen in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27458	Mean thickness of S-intrapariet+P-trans (left hemisphere)	Mean thickness of S-intrapariet+P-trans in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27459	Mean thickness of S-oc-middle+Lunatus (left hemisphere)	Mean thickness of S-oc-middle+Lunatus in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27460	Mean thickness of S-oc-sup+transversal (left hemisphere)	Mean thickness of S-oc-sup+transversal in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27461	Mean thickness of S-occipital-ant (left hemisphere)	Mean thickness of S-occipital-ant in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27462	Mean thickness of S-oc-temp-lat (left hemisphere)	Mean thickness of S-oc-temp-lat in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27463	Mean thickness of S-oc-temp-med+Lingual (left hemisphere)	Mean thickness of S-oc-temp-med+Lingual in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27464	Mean thickness of S-orbital-lateral (left hemisphere)	Mean thickness of S-orbital-lateral in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27465	Mean thickness of S-orbital-med-olfact (left hemisphere)	Mean thickness of S-orbital-med-olfact in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27466	Mean thickness of S-orbital-H-Shaped (left hemisphere)	Mean thickness of S-orbital-H-Shaped in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27467	Mean thickness of S-parieto-occipital (left hemisphere)	Mean thickness of S-parieto-occipital in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27468	Mean thickness of S-pericallosal (left hemisphere)	Mean thickness of S-pericallosal in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27469	Mean thickness of S-postcentral (left hemisphere)	Mean thickness of S-postcentral in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27470	Mean thickness of S-precentral-inf-part (left hemisphere)	Mean thickness of S-precentral-inf-part in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27471	Mean thickness of S-precentral-sup-part (left hemisphere)	Mean thickness of S-precentral-sup-part in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27472	Mean thickness of S-suborbital (left hemisphere)	Mean thickness of S-suborbital in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27473	Mean thickness of S-subparietal (left hemisphere)	Mean thickness of S-subparietal in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27474	Mean thickness of S-temporal-inf (left hemisphere)	Mean thickness of S-temporal-inf in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27475	Mean thickness of S-temporal-sup (left hemisphere)	Mean thickness of S-temporal-sup in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27476	Mean thickness of S-temporal-transverse (left hemisphere)	Mean thickness of S-temporal-transverse in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27477	Volume of G+S-frontomargin (left hemisphere)	Volume of G+S-frontomargin in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27478	Volume of G+S-occipital-inf (left hemisphere)	Volume of G+S-occipital-inf in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27479	Volume of G+S-paracentral (left hemisphere)	Volume of G+S-paracentral in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27480	Volume of G+S-subcentral (left hemisphere)	Volume of G+S-subcentral in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27481	Volume of G+S-transv-frontopol (left hemisphere)	Volume of G+S-transv-frontopol in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27482	Volume of G+S-cingul-Ant (left hemisphere)	Volume of G+S-cingul-Ant in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27483	Volume of G+S-cingul-Mid-Ant (left hemisphere)	Volume of G+S-cingul-Mid-Ant in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27484	Volume of G+S-cingul-Mid-Post (left hemisphere)	Volume of G+S-cingul-Mid-Post in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27485	Volume of G-cingul-Post-dorsal (left hemisphere)	Volume of G-cingul-Post-dorsal in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27486	Volume of G-cingul-Post-ventral (left hemisphere)	Volume of G-cingul-Post-ventral in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27487	Volume of G-cuneus (left hemisphere)	Volume of G-cuneus in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27488	Volume of G-front-inf-Opercular (left hemisphere)	Volume of G-front-inf-Opercular in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27489	Volume of G-front-inf-Orbital (left hemisphere)	Volume of G-front-inf-Orbital in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27490	Volume of G-front-inf-Triangul (left hemisphere)	Volume of G-front-inf-Triangul in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27491	Volume of G-front-middle (left hemisphere)	Volume of G-front-middle in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27492	Volume of G-front-sup (left hemisphere)	Volume of G-front-sup in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27493	Volume of G-Ins-lg+S-cent-ins (left hemisphere)	Volume of G-Ins-lg+S-cent-ins in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27494	Volume of G-insular-short (left hemisphere)	Volume of G-insular-short in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27495	Volume of G-occipital-middle (left hemisphere)	Volume of G-occipital-middle in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27496	Volume of G-occipital-sup (left hemisphere)	Volume of G-occipital-sup in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27497	Volume of G-oc-temp-lat-fusifor (left hemisphere)	Volume of G-oc-temp-lat-fusifor in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27498	Volume of G-oc-temp-med-Lingual (left hemisphere)	Volume of G-oc-temp-med-Lingual in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27499	Volume of G-oc-temp-med-Parahip (left hemisphere)	Volume of G-oc-temp-med-Parahip in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27500	Volume of G-orbital (left hemisphere)	Volume of G-orbital in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27501	Volume of G-pariet-inf-Angular (left hemisphere)	Volume of G-pariet-inf-Angular in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27502	Volume of G-pariet-inf-Supramar (left hemisphere)	Volume of G-pariet-inf-Supramar in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27503	Volume of G-parietal-sup (left hemisphere)	Volume of G-parietal-sup in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27504	Volume of G-postcentral (left hemisphere)	Volume of G-postcentral in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27505	Volume of G-precentral (left hemisphere)	Volume of G-precentral in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27506	Volume of G-precuneus (left hemisphere)	Volume of G-precuneus in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27507	Volume of G-rectus (left hemisphere)	Volume of G-rectus in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27508	Volume of G-subcallosal (left hemisphere)	Volume of G-subcallosal in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27509	Volume of G-temp-sup-G-T-transv (left hemisphere)	Volume of G-temp-sup-G-T-transv in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27510	Volume of G-temp-sup-Lateral (left hemisphere)	Volume of G-temp-sup-Lateral in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27511	Volume of G-temp-sup-Plan-polar (left hemisphere)	Volume of G-temp-sup-Plan-polar in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27512	Volume of G-temp-sup-Plan-tempo (left hemisphere)	Volume of G-temp-sup-Plan-tempo in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27513	Volume of G-temporal-inf (left hemisphere)	Volume of G-temporal-inf in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27514	Volume of G-temporal-middle (left hemisphere)	Volume of G-temporal-middle in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27515	Volume of Lat-Fis-ant-Horizont (left hemisphere)	Volume of Lat-Fis-ant-Horizont in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27516	Volume of Lat-Fis-ant-Vertical (left hemisphere)	Volume of Lat-Fis-ant-Vertical in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27517	Volume of Lat-Fis-post (left hemisphere)	Volume of Lat-Fis-post in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27518	Volume of Pole-occipital (left hemisphere)	Volume of Pole-occipital in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27519	Volume of Pole-temporal (left hemisphere)	Volume of Pole-temporal in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27520	Volume of S-calcarine (left hemisphere)	Volume of S-calcarine in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27521	Volume of S-central (left hemisphere)	Volume of S-central in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27522	Volume of S-cingul-Marginalis (left hemisphere)	Volume of S-cingul-Marginalis in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27523	Volume of S-circular-insula-ant (left hemisphere)	Volume of S-circular-insula-ant in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27524	Volume of S-circular-insula-inf (left hemisphere)	Volume of S-circular-insula-inf in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27525	Volume of S-circular-insula-sup (left hemisphere)	Volume of S-circular-insula-sup in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27526	Volume of S-collat-transv-ant (left hemisphere)	Volume of S-collat-transv-ant in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27527	Volume of S-collat-transv-post (left hemisphere)	Volume of S-collat-transv-post in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27528	Volume of S-front-inf (left hemisphere)	Volume of S-front-inf in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27529	Volume of S-front-middle (left hemisphere)	Volume of S-front-middle in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27530	Volume of S-front-sup (left hemisphere)	Volume of S-front-sup in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27531	Volume of S-interm-prim-Jensen (left hemisphere)	Volume of S-interm-prim-Jensen in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27532	Volume of S-intrapariet+P-trans (left hemisphere)	Volume of S-intrapariet+P-trans in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27533	Volume of S-oc-middle+Lunatus (left hemisphere)	Volume of S-oc-middle+Lunatus in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27534	Volume of S-oc-sup+transversal (left hemisphere)	Volume of S-oc-sup+transversal in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27535	Volume of S-occipital-ant (left hemisphere)	Volume of S-occipital-ant in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27536	Volume of S-oc-temp-lat (left hemisphere)	Volume of S-oc-temp-lat in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27537	Volume of S-oc-temp-med+Lingual (left hemisphere)	Volume of S-oc-temp-med+Lingual in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27538	Volume of S-orbital-lateral (left hemisphere)	Volume of S-orbital-lateral in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27539	Volume of S-orbital-med-olfact (left hemisphere)	Volume of S-orbital-med-olfact in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27540	Volume of S-orbital-H-Shaped (left hemisphere)	Volume of S-orbital-H-Shaped in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27541	Volume of S-parieto-occipital (left hemisphere)	Volume of S-parieto-occipital in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27542	Volume of S-pericallosal (left hemisphere)	Volume of S-pericallosal in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27543	Volume of S-postcentral (left hemisphere)	Volume of S-postcentral in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27544	Volume of S-precentral-inf-part (left hemisphere)	Volume of S-precentral-inf-part in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27545	Volume of S-precentral-sup-part (left hemisphere)	Volume of S-precentral-sup-part in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27546	Volume of S-suborbital (left hemisphere)	Volume of S-suborbital in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27547	Volume of S-subparietal (left hemisphere)	Volume of S-subparietal in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27548	Volume of S-temporal-inf (left hemisphere)	Volume of S-temporal-inf in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27549	Volume of S-temporal-sup (left hemisphere)	Volume of S-temporal-sup in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27550	Volume of S-temporal-transverse (left hemisphere)	Volume of S-temporal-transverse in the left hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
